id,match_id,match_full_time,extra_full_time,player_id,back_number,player_name,player_last_name,team_id,team_name,event_time,event_period,is_side_changed,event_types,filtered_event_types,x,y,relative_player_id,relative_player_name,relative_player_last_name,relative_x,relative_y
32126820,25199,5400000,0,175826,19,Richie,Loughty,9829,FC Hercules,306268,FIRST_HALF,True,crossSucceeded passSucceeded passSucceededFrom18 passSucceededTo14 passSucceededFrom18To14 sidewaysPassSucceeded mediumPassSucceeded passSucceededFrom18 passSucceededTo14 passSucceededFrom18To14 sidewaysPassSucceeded mediumPassSucceeded,crossSucceeded,0.935434,0.865389,175821,Douglas Arthur,Silbeira Martins,0.590701,0.814364
32126821,25199,5400000,0,175821,20,Douglas Arthur,Silbeira Martins,9829,FC Hercules,307663,FIRST_HALF,True,passReceived,passReceived,0.590701,0.814364,,,,,
32127408,25199,5400000,0,175806,13,Kevin,Kraus,9828,FC Cerberus,308272,FIRST_HALF,True,intercept passSucceeded passSucceededFrom5 passSucceededTo2 passSucceededFrom5To2 backwardPassSucceeded shortPassSucceeded passSucceededFrom5 passSucceededTo2 passSucceededFrom5To2 backwardPassSucceeded shortPassSucceeded,intercept passSucceeded,0.452924,0.177268,175802,Éder Marvin,Oliveira Simão,0.426197,0.143224
32127409,25199,5400000,0,175802,30,Éder Marvin,Oliveira Simão,9828,FC Cerberus,308852,FIRST_HALF,True,passReceived,passReceived,0.426197,0.143224,,,,,
32127410,25199,5400000,0,175802,30,Éder Marvin,Oliveira Simão,9828,FC Cerberus,309568,FIRST_HALF,True,passSucceeded passSucceededFrom2 passSucceededTo8 passSucceededFrom2To8 forwardPassSucceeded mediumPassSucceeded passSucceededFrom2 passSucceededTo8 passSucceededFrom2To8 forwardPassSucceeded mediumPassSucceeded,passSucceeded,0.416793,0.146857,175808,Kerem,Demirbay,0.359393,0.346245
32127411,25199,5400000,0,175808,14,Kerem,Demirbay,9828,FC Cerberus,311145,FIRST_HALF,True,foulCommitted passReceived,foulCommitted passReceived,0.359393,0.346245,,,,,
32126825,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,311420,FIRST_HALF,True,foulConceded,foulConceded,0.61968,0.658284,,,,,
32127412,25199,5400000,0,175804,32,Simen,Rafn,9828,FC Cerberus,327722,FIRST_HALF,True,freeKick passSucceeded passSucceededFrom8 passSucceededTo7 passSucceededFrom8To7 sidewaysPassSucceeded mediumPassSucceeded passSucceededFrom8 passSucceededTo7 passSucceededFrom8To7 sidewaysPassSucceeded mediumPassSucceeded,freeKick,0.469032,0.401137,175802,Éder Marvin,Oliveira Simão,0.237012,0.376902
32127413,25199,5400000,0,175802,30,Éder Marvin,Oliveira Simão,9828,FC Cerberus,328900,FIRST_HALF,True,passReceived,passReceived,0.237012,0.376902,,,,,
32127414,25199,5400000,0,175802,30,Éder Marvin,Oliveira Simão,9828,FC Cerberus,330473,FIRST_HALF,True,passSucceeded passSucceededFrom7 passSucceededTo13 passSucceededFrom7To13 forwardPassSucceeded mediumPassSucceeded passSucceededFrom7 passSucceededTo13 passSucceededFrom7To13 forwardPassSucceeded mediumPassSucceeded,passSucceeded,0.192189,0.391663,175808,Kerem,Demirbay,0.148936,0.674521
32127415,25199,5400000,0,175808,14,Kerem,Demirbay,9828,FC Cerberus,332281,FIRST_HALF,True,passReceived,passReceived,0.148936,0.674521,,,,,
32126826,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,333209,FIRST_HALF,True,cutoff,cutoff,0.90703,0.321541,,,,,
32126827,25199,5400000,0,175826,19,Richie,Loughty,9829,FC Hercules,334086,FIRST_HALF,True,hit,hit,0.950318,0.325284,,,,,
32126828,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,334559,FIRST_HALF,True,possession,possession,0.946509,0.30896,,,,,
32126829,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,337399,FIRST_HALF,True,passSucceeded passSucceededFrom6 passSucceededTo2 passSucceededFrom6To2 backwardPassSucceeded longPassSucceeded passSucceededFrom6 passSucceededTo2 passSucceededFrom6To2 backwardPassSucceeded longPassSucceeded,passSucceeded,0.97194,0.22138,175827,Dawid,Kudła,0.58103,0.0503106
32126830,25199,5400000,0,175827,1,Dawid,Kudła,9829,FC Hercules,340123,FIRST_HALF,True,passSucceeded passSucceededFrom2 passSucceededTo2 passSucceededFrom2To2 forwardPassSucceeded shortPassSucceeded passReceived passSucceededFrom2 passSucceededTo2 passSucceededFrom2To2 forwardPassSucceeded shortPassSucceeded,passSucceeded passReceived,0.58103,0.0503106,175824,Simon,Thern,0.537582,0.158551
32126831,25199,5400000,0,175824,4,Simon,Thern,9829,FC Hercules,341306,FIRST_HALF,True,passSucceeded passSucceededFrom2 passSucceededTo2 passSucceededFrom2To2 backwardPassSucceeded shortPassSucceeded passReceived passSucceededFrom2 passSucceededTo2 passSucceededFrom2To2 backwardPassSucceeded shortPassSucceeded,passSucceeded passReceived,0.537582,0.158551,175827,Dawid,Kudła,0.538808,0.0514631
32126832,25199,5400000,0,175827,1,Dawid,Kudła,9829,FC Hercules,342435,FIRST_HALF,True,passFailed passFailedFrom2 passFailedTo11 passFailedFrom2To11 forwardPassFailed longPassFailed passReceived passFailedFrom2 passFailedTo11 passFailedFrom2To11 forwardPassFailed longPassFailed,passFailed passReceived,0.538808,0.0514631,175821,Douglas Arthur,Silbeira Martins,0.605487,0.508006
32127416,25199,5400000,0,175801,28,Tomáš,Vlček,9828,FC Cerberus,345859,FIRST_HALF,True,aerialDuelSucceeded cutoff,aerialDuelSucceeded cutoff,0.413279,0.486554,,,,,
32126833,25199,5400000,0,175821,20,Douglas Arthur,Silbeira Martins,9829,FC Hercules,346021,FIRST_HALF,True,aerialDuelFailed,aerialDuelFailed,0.605487,0.508006,,,,,
32126834,25199,5400000,0,175819,9,Magnus,Blakstad,9829,FC Hercules,347231,FIRST_HALF,True,possession,possession,0.761439,0.418714,,,,,
32126835,25199,5400000,0,175819,9,Magnus,Blakstad,9829,FC Hercules,350764,FIRST_HALF,True,passSucceeded passSucceededFrom12 passSucceededTo10 passSucceededFrom12To10 sidewaysPassSucceeded longPassSucceeded passSucceededFrom12 passSucceededTo10 passSucceededFrom12To10 sidewaysPassSucceeded longPassSucceeded,passSucceeded,0.721568,0.516568,175818,Dominic,Ball,0.139924,0.628099
32126836,25199,5400000,0,175818,7,Dominic,Ball,9829,FC Hercules,353981,FIRST_HALF,True,passReceived,passReceived,0.139924,0.628099,,,,,
32126837,25199,5400000,0,175818,7,Dominic,Ball,9829,FC Hercules,355510,FIRST_HALF,True,passSucceeded passSucceededFrom10 passSucceededTo10 passSucceededFrom10To10 backwardPassSucceeded shortPassSucceeded passSucceededFrom10 passSucceededTo10 passSucceededFrom10To10 backwardPassSucceeded shortPassSucceeded,passSucceeded,0.218734,0.602167,175820,Zlatko,Junuzović,0.322835,0.543114
32126838,25199,5400000,0,175820,10,Zlatko,Junuzović,9829,FC Hercules,356655,FIRST_HALF,True,passReceived,passReceived,0.322835,0.543114,,,,,
32126839,25199,5400000,0,175820,10,Zlatko,Junuzović,9829,FC Hercules,357530,FIRST_HALF,True,passSucceeded passSucceededFrom10 passSucceededTo11 passSucceededFrom10To11 sidewaysPassSucceeded shortPassSucceeded passSucceededFrom10 passSucceededTo11 passSucceededFrom10To11 sidewaysPassSucceeded shortPassSucceeded,passSucceeded,0.322107,0.535203,175822,Joris,Gnagnon,0.436342,0.530928
32126840,25199,5400000,0,175822,17,Joris,Gnagnon,9829,FC Hercules,358229,FIRST_HALF,True,passSucceeded passSucceededFrom11 passSucceededTo8 passSucceededFrom11To8 backwardPassSucceeded shortPassSucceeded passReceived passSucceededFrom11 passSucceededTo8 passSucceededFrom11To8 backwardPassSucceeded shortPassSucceeded,passSucceeded passReceived,0.436342,0.530928,175824,Simon,Thern,0.361264,0.450746
32126841,25199,5400000,0,175824,4,Simon,Thern,9829,FC Hercules,359156,FIRST_HALF,True,passReceived,passReceived,0.361264,0.450746,,,,,
32126842,25199,5400000,0,175824,4,Simon,Thern,9829,FC Hercules,360510,FIRST_HALF,True,passSucceeded passSucceededFrom8 passSucceededTo11 passSucceededFrom8To11 forwardPassSucceeded mediumPassSucceeded passSucceededFrom8 passSucceededTo11 passSucceededFrom8To11 forwardPassSucceeded shortPassSucceeded,passSucceeded,0.355689,0.465998,175818,Dominic,Ball,0.431775,0.609727
32126843,25199,5400000,0,175818,7,Dominic,Ball,9829,FC Hercules,361525,FIRST_HALF,True,passReceived,passReceived,0.431775,0.609727,,,,,
